Coordenadas,Tipo Transporte,Coordenadas de Accidente,Tipo Accidente,Tiempo,Costo,Descripcion Accidente
"(19.383082625228962, -99.1906271466764)",CAMINAR,Ninguna,Ninguno,05:30,$0.00,
"(19.38367013560702, -99.19071438138118)",CAMINAR,Ninguna,Ninguno,05:33,$0.00,
"(19.382961076037986, -99.18416246474426)",CAMINAR,Ninguna,Ninguno,05:40,$0.00,
"(19.38377832377402, -99.18375208678239)",CAMINAR,Ninguna,Ninguno,05:43,$0.00,
"(19.382705527130742, -99.18137564967644)",CAMINAR,Ninguna,Ninguno,05:48,$0.00,
"(19.3816681463057, -99.1794927391155)",CAMINAR,Ninguna,Ninguno,05:52,$0.00,
"(19.382839627094555, -99.17617752875515)",CAMINAR,Ninguna,Ninguno,06:00,$0.00,
"(19.38250058168496, -99.17615338887623)",METROBUS,Ninguna,Ninguno,06:15,$6.00,
"(19.33979501073667, -99.19045862470468)",METROBUS,"(19.339683639076192, -99.1904666472146)",Obstrucción vial,07:25,$0.00,Camiones de la ruta San Geronimo obstruyeron el paso junto con un trailer
"(19.29577244917112, -99.18500837633597)",METROBUS,Ninguna,Ninguno,07:45,$0.00,
"(19.29071942361733, -99.17370018345714)",METROBUS,Ninguna,Ninguno,07:58,$0.00,
"(19.28463330819647, -99.17584595047266)",METROBUS,Ninguna,Ninguno,08:05,$0.00,
"(19.28268894403653, -99.17499837220686)",METROBUS,Ninguna,Ninguno,08:15,$0.00,
"(19.280339473298586, -99.17006310807118)",METROBUS,Ninguna,Ninguno,08:25,$0.00,
"(19.27947360377738, -99.16795757381107)",CAMINAR,Ninguna,Ninguno,08:29,$0.00,
"(19.279612219151442, -99.166731804335389)","CAMINAR, TOMA CAMION","(19.29039724317043, -99.16181799531365)",Mantenimiento vial,08:31,$0.00,
"(19.29011799530174, -99.16221067774308)",CAMION,Ninguna,Ninguno,08:35,$7.50,
"(19.304962766722397, -99.14440081050682)",CAMION,Ninguna,Ninguno,08:40,$0.00,
"(19.305286784907125, -99.14475486206437)",CAMION,Ninguna,Ninguno,08:45,$0.00,
"(19.297955716470298, -99.15205046991713)",CAMION,Ninguna,Ninguno,08:49,$0.00,
"(19.29700386857389, -99.15646002113401)",CAMION,Ninguna,Ninguno,08:53,$0.00,
"(19.30130739211318, -99.16091248769119)",CAMION,Ninguna,Ninguno,08:55,$0.00,
"(19.302249089227733, -99.16109487788752)",CAMION,Ninguna,Ninguno,08:57,$0.00,
"(19.303292037770092, -99.15983960418345)",CAMION,Ninguna,Ninguno,08:59,$0.00,
"(19.302340220918882, -99.15809080406581)",CAMION,Ninguna,Ninguno,09:03,$0.00,
"(19.30242818826706, -99.15795535252295)",CAMION,Ninguna,Ninguno,09:07,$0.00,
"(19.305281722202317, -99.16088633667069)",CAMION,Ninguna,Ninguno,09:10,$0.00,
"(19.30804344501267, -99.16098289619842)",CAMINAR,Ninguna,Ninguno,09:15,$0.00,
"(19.308987634714825, -99.16073613299064)",CAMINAR,Ninguna,Ninguno,09:18,$0.00,
"(19.308820566699055, -99.15997706790888)",CAMINAR,Ninguna,Ninguno,09:22,$0.00,
