Coordenadas,Tipo Transporte,Coordenadas de Accidente,Tipo Accidente,Tiempo,Costo,Descripcion,Descripcion Accidente
"(19.383082625228962, -99.1906271466764)",VEHICULO PROPIO,Ninguna,Ninguno,05:30,$0.00,Salida,
"(19.382573465095575, -99.19087236212239)",VEHICULO PROPIO,Ninguna,Ninguno,05:32,,Giro,
"(19.382509233732627, -99.19027091300809)",VEHICULO PROPIO,Ninguna,Ninguno,05:35,,Espera para cruzar,
"(19.382397607273372, -99.18914949367837)",VEHICULO PROPIO,Ninguna,Ninguno,05:38,,Espera para cruzar,
"(19.38227362658947, -99.1880796416457)",VEHICULO PROPIO,Ninguna,Ninguno,05:42,,Espera para cruzar,
"(19.382176287824176, -99.18710430046796)",VEHICULO PROPIO,"(19.382160732523964, -99.18698656236836)",Obstruccion Vehicular,05:46,,Espera para girar,"Camion de Transporte quedo en el cruce, no déjà pasar a los demas vehiculos."
"(19.382156046244543, -99.18690715812342)",VEHICULO PROPIO,Ninguna,Ninguno,05:52,,Giro,
"(19.373186367990094, -99.18791868931667)",VEHICULO PROPIO,"(19.379723088281413, -99.18718790321275)",Obstruccion Vehicular,06:00,,Giro,Vehiculo de la coca-cola bloqueando un carril
"(19.372587309608022, -99.18769807759625)",VEHICULO PROPIO,"(19.37406032292574, -99.18785845548153)",Ninguno,06:15,,Giro,Vehiculo COMETRA bloqueando un carril junto con el tranporte publico
"(19.36790420313858, -99.18104854031819)",VEHICULO PROPIO,Ninguna,Ninguno,06:23,,Espera para cruzar,
"(19.367112131646667, -99.17982366566406)",VEHICULO PROPIO,"(19.36710621796181, -99.17980311367656)",Obstruccion Vehicular,06:29,,Giro,Vehiculo de la coca-cola bloqueando un carril
"(19.358740311110786, -99.17042922705923)",VEHICULO PROPIO,Ninguna,Ninguno,06:34,,Espera para cruzar,
"(19.35734156116587, -99.14752589052333)",VEHICULO PROPIO,"(19.358635964149236, -99.16996930022525)",Choque vehicular,06:42,,Giro,
"(19.35712010206296, -99.14661304987898)",VEHICULO PROPIO,Ninguna,Ninguno,06:43,,Giro,
"(19.357084673850583, -99.14555089520631)",VEHICULO PROPIO,Ninguna,Ninguno,06:44,,Giro,
"(19.356700024190303, -99.14445923617306)",VEHICULO PROPIO,Ninguna,Ninguno,06:44,,Giro,
"(19.35654692324444, -99.14431037352854)",VEHICULO PROPIO,Ninguna,Ninguno,06:45,,Espera para Girar,
"(19.35631790421654, -99.14422990726547)",VEHICULO PROPIO,Ninguna,Ninguno,06:47,,desplazamient,
"(19.35172479926131, -99.14557182074226)",VEHICULO PROPIO,Ninguna,Ninguno,06:50,,desplazamiento,
"(19.350035568242557, -99.14572470665638)",VEHICULO PROPIO,Ninguna,Ninguno,06:52,,desplazamiento,
"(19.348814276990993, -99.14556313365209)",VEHICULO PROPIO,Ninguna,Ninguno,06:53,,desplazamiento,
"(19.343110386173407, -99.14417004320595)",VEHICULO PROPIO,Ninguna,Ninguno,06:57,,desplazamiento,
"(19.342055138857166, -99.14391509375201)",VEHICULO PROPIO,Ninguna,Ninguno,06:59,,Espera para cruzar,
"(19.323934451141444, -99.13834891217118)",VEHICULO PROPIO,Ninguna,Ninguno,07:02,,Giro,
"(19.323729431846, -99.13834086554485)",VEHICULO PROPIO,Ninguna,Ninguno,07:03,,desplazamiento,
"(19.32233984981054, -99.13797340289072)",VEHICULO PROPIO,Ninguna,Ninguno,07:04,,desplazamiento,
"(19.321714660594584, -99.13790902987557)",VEHICULO PROPIO,Ninguna,Ninguno,07:05,,desplazamiento,
"(19.321469140294802, -99.13792780533694)",VEHICULO PROPIO,Ninguna,Ninguno,07:05,,Giro,
"(19.320216774722013, -99.13818706584944)",VEHICULO PROPIO,Ninguna,Ninguno,07:07,,desplazamiento,
"(19.315070887103154, -99.1399219404559)",VEHICULO PROPIO,Ninguna,Ninguno,07:09,,desplazamiento,
"(19.31497659845677, -99.13991992879934)",VEHICULO PROPIO,Ninguna,Ninguno,07:11,,desplazamiento,
"(19.31153098095062, -99.14106191097015)",VEHICULO PROPIO,Ninguna,Ninguno,07:13,,Espera para cruzar,
"(19.31149933978622, -99.14110482631047)",VEHICULO PROPIO,Ninguna,Ninguno,07:14,,desplazamiento,
"(19.310322916935196, -99.14154806134026)",VEHICULO PROPIO,Ninguna,Ninguno,07:15,,desplazamiento,
"(19.309090239897227, -99.14197251676204)",VEHICULO PROPIO,Ninguna,Ninguno,07:16,,desplazamiento,
"(19.306866252960805, -99.1435427213102)",VEHICULO PROPIO,Ninguna,Ninguno,07:18,,desplazamiento,
"(19.30541600881937, -99.14459788449697)",VEHICULO PROPIO,Ninguna,Ninguno,07:18,,Espera para cruzar,
"(19.302706135941328, -99.14661624675806)",VEHICULO PROPIO,Ninguna,Ninguno,07:20,,Espera para Girar,
"(19.302901055896534, -99.1470480823699)",VEHICULO PROPIO,Ninguna,Ninguno,07:20,,Giro,
"(19.303837681031887, -99.14771327021306)",VEHICULO PROPIO,Ninguna,Ninguno,07:21,,desplazamiento,
"(19.304106010482442, -99.14807134508375)",VEHICULO PROPIO,Ninguna,Ninguno,07:21,,desplazamiento,
"(19.304571788872728, -99.14900207164021)",VEHICULO PROPIO,Ninguna,Ninguno,07:22,,desplazamiento,
"(19.304622416877415, -99.14978259439211)",VEHICULO PROPIO,Ninguna,Ninguno,07:23,,desplazamiento,
"(19.305695726903682, -99.15179425114395)",VEHICULO PROPIO,Ninguna,Ninguno,07:24,,desplazamiento,
"(19.305731166273404, -99.15253722313075)",VEHICULO PROPIO,Ninguna,Ninguno,07:25,,desplazamiento,
"(19.305531186919197, -99.15316754219153)",VEHICULO PROPIO,Ninguna,Ninguno,07:26,,desplazamiento,
"(19.307738540471487, -99.15991597995811)",VEHICULO PROPIO,Ninguna,Ninguno,07:28,,Esperando para cruzar,
"(19.30811064870933, -99.16107469424443)",VEHICULO PROPIO,Ninguna,Ninguno,07:30,,Giro,
"(19.308864988045947, -99.16081452011579)",VEHICULO PROPIO,Ninguna,Ninguno,07:31,,Ha Llegado,
"(19.30897636671184, -99.16070454955626)",CAMINAR,Ninguna,Ninguno,07:32,,desplazamiento,
"(19.308820566699055, -99.15997706790888)",CAMINAR,Ninguna,Ninguno,07:36,,Fin Trayecto,
